SERV_ID,PROD_INST_STATE,GENDER,AGE,IN_NET_DUR,STAR_LEVEL,SCORE_POINT,RECV_RATE,CONSOLIDATE_SPEND,RM_MODE_CD,MOBILE_USER_NUMBER,IPTV_USER_NUMBER,BRD_CHARGE_11,BRD_CHARGE_10,BRD_CHARGE_09,OFFER_NAME_LEV1,ZHU_OFFER_VALUE,IS_HY,BRD_MBL_FLUX_11,BRD_MBL_FLUX_10,BRD_MBL_FLUX_09,BRD_CNT_11,BRD_CNT_10,BRD_CNT_09,ACTIVE_DAY_11,ACTIVE_DAY_10,ACTIVE_DAY_09
128497,2HA,2.0,48.0,9,1.0,745,8,100,FTTH接入,0,0,90.0,90.0,90.0,宽带,90.0,1,38043.18,28436.16,26327.74,25,15,20,18,15,17
14033,2HA,2.0,43.0,132,1.0,2192,20,20,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,17950.07,27962.6,15975.58,13,14,12,10,10,10
79349,2HA,1.0,58.0,16,3.0,8860,20,20,FTTH接入,0,0,170.0,120.0,120.0,宽带,120.0,1,8070.24,36888.61,28799.73,16,76,54,11,24,20
91900,2HA,1.0,26.0,6,3.0,6082,100,100,FTTH接入,0,0,120.0,100.65,90.0,宽带,90.0,1,514.54,446.31,417.16,18,17,15,15,16,15
72723,2HA,2.0,37.0,19,1.0,1796,100,100,FTTH接入,0,0,279.0,80.0,80.0,宽带,80.0,1,64608.71,82133.14,64796.0,117,98,103,29,30,29
90008,2HA,1.0,40.0,8,2.0,1417,20,100,FTTH接入,0,0,130.0,130.0,130.0,宽带,130.0,1,288.11,292.07,320.95,53,58,55,26,27,27
88152,2HA,2.0,28.0,11,2.0,2222,20,20,FTTH接入,0,1,130.0,130.0,130.0,宽带,130.0,1,18055.99,36916.09,38827.05,9,15,29,8,13,28
100268,2HA,2.0,41.0,41,2.0,3867,4,4,FTTH接入,0,0,80.0,80.0,80.0,宽带,108.0,0,81125.37,80659.71,87283.06,41,39,40,28,26,30
58136,2HA,1.0,44.0,23,1.0,3681,4,50,FTTH接入,0,0,55.0,55.0,55.0,宽带,60.0,1,55875.02,44470.88,33655.92,33,36,34,30,31,30
52863,2HA,1.0,29.0,25,,8293,8,20,FTTH接入,0,0,79.0,85.0,58.0,宽带,60.0,1,40612.07,44417.05,37180.13,87,23,23,22,18,17
79830,2HA,1.0,42.0,16,,1628,100,100,FTTH接入,0,0,309.0,110.0,110.0,宽带,110.0,1,19874.84,29790.06,21391.4,15,18,19,15,17,18
113205,2HA,2.0,39.0,17,2.0,1565,8,20,FTTH接入,0,0,60.0,60.0,60.0,宽带,60.0,1,8631.33,64.5,41.96,15,17,17,15,16,15
108969,2HA,1.0,35.0,19,4.0,1768,4,20,FTTH接入,0,0,50.0,50.0,50.0,宽带,50.0,1,53251.95,6362.44,19.85,115,89,108,30,31,30
109150,2HA,2.0,43.0,19,1.0,1810,8,8,普通接入,0,0,80.0,80.0,80.0,宽带,80.0,1,3401.3,10247.53,21258.59,65,108,115,14,13,18
103466,2HA,1.0,21.0,21,1.0,1991,8,50,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,30771.31,22613.86,20229.96,320,301,361,30,31,30
43185,2HA,1.0,35.0,33,3.0,4902,20,20,FTTH接入,0,0,119.17,119.17,119.17,宽带,130.0,1,39007.87,52611.48,32408.31,52,43,43,28,29,26
61494,2HA,1.0,32.0,22,7.0,63468,100,100,FTTH接入,0,0,172.0,160.0,160.0,宽带,160.0,1,817.51,1047.32,1154.85,20,16,16,15,16,16
