SERV_ID,PROD_INST_STATE,GENDER,AGE,IN_NET_DUR,STAR_LEVEL,SCORE_POINT,RECV_RATE,CONSOLIDATE_SPEND,RM_MODE_CD,MOBILE_USER_NUMBER,IPTV_USER_NUMBER,BRD_CHARGE_11,BRD_CHARGE_10,BRD_CHARGE_09,OFFER_NAME_LEV1,ZHU_OFFER_VALUE,IS_HY,BRD_MBL_FLUX_11,BRD_MBL_FLUX_10,BRD_MBL_FLUX_09,BRD_CNT_11,BRD_CNT_10,BRD_CNT_09,ACTIVE_DAY_11,ACTIVE_DAY_10,ACTIVE_DAY_09,FLAG
608,2HA,1.0,52.0,142,5.0,6361,4,20,普通接入,0,0,80.0,80.0,80.0,宽带,80.0,1,22379.37,7404.16,8534.56,19,15,17,16,12,14,0
865,2HA,2.0,30.0,139,1.0,2272,8,8,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,86420.18,72395.0,63768.16,32,45,45,22,24,30,0
5802,2HA,1.0,47.0,88,1.0,3204,4,100,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,17201.86,25216.06,22222.98,155,203,238,29,31,30,0
2089,2HA,1.0,54.0,100,1.0,2442,20,20,FTTH接入,0,0,130.0,80.0,80.0,宽带,80.0,1,27624.96,24977.67,19348.48,16,11,9,14,11,9,0
8779,2HA,1.0,27.0,82,1.0,2197,2,2,普通接入,0,0,80.0,80.0,80.0,宽带,80.0,0,32281.94,38986.02,30720.42,83,88,35,16,22,17,0
6578,2HA,2.0,54.0,86,1.0,2272,20,20,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,4391.96,6915.15,11188.44,103,79,275,29,29,29,0
5047,2HA,1.0,34.0,90,2.0,2335,20,50,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,59506.97,46460.7,54314.39,20,43,96,17,16,16,0
1815,2HA,2.0,56.0,101,1.0,2322,20,20,FTTH接入,0,0,130.0,80.0,80.0,宽带,80.0,1,83733.05,93553.37,57821.86,52,45,50,27,28,24,0
8568,2HA,2.0,31.0,82,1.0,2442,20,20,FTTH接入,0,0,130.0,80.0,80.0,宽带,80.0,1,31967.83,24845.06,21096.19,20,13,14,20,13,14,0
8273,2HA,1.0,42.0,82,3.0,6529,8,200,FTTH接入,0,0,80.0,80.0,80.0,宽带,108.0,0,45626.17,74256.59,73177.89,1432,1322,1011,31,31,28,0
7545,2HA,2.0,44.0,84,,360,4,4,FTTH接入,0,0,18.0,18.0,18.0,宽带,18.0,0,418.39,1420.27,0.0,4,4,0,2,2,0,0
8392,2HA,1.0,34.0,82,1.0,1856,20,20,FTTH接入,0,0,110.0,60.0,60.0,宽带,60.0,1,10056.98,677.21,5066.84,5,2,11,5,2,4,0
5389,2HA,2.0,32.0,89,1.0,2322,20,20,FTTH接入,0,0,130.0,80.0,80.0,宽带,80.0,1,14230.93,15713.14,22903.31,150,124,228,29,28,30,0
8526,2HA,1.0,32.0,81,2.0,2831,20,20,FTTH接入,0,0,60.0,110.0,60.0,宽带,108.0,1,16154.02,23687.68,15717.22,117,131,88,22,27,21,0
6823,2HA,1.0,44.0,86,,454,6,6,普通接入,0,0,18.0,18.0,18.0,宽带,18.0,0,2014.02,1273.7,2673.95,10,7,10,8,3,6,1
9976,2HA,2.0,61.0,80,2.0,2919,20,20,FTTH接入,0,0,60.0,60.0,60.0,宽带,108.0,1,129.46,202.66,185.02,16,16,15,15,16,15,0
12717,2HA,1.0,48.0,75,1.0,1507,4,50,FTTH接入,0,0,55.0,55.0,55.0,宽带,60.0,1,36947.57,34633.97,11288.68,54,25,12,16,11,11,0
