SERV_ID,SCORE_1300,SCORE_1301,SCORE_1005,SCORE_1202,SCORE_1200,SCORE_1419,SCORE_1000,SCORE_1101,SCORE_1006,SCORE_1100,SCORE_1105,SCORE_1411,SCORE_1303,SCORE_1011,SCORE_1014,SCORE_1103,SCORE_1201,SCORE_1102,SCORE_1302,SCORE_1012,SCORE_1004,SCORE_1418,SCORE_1002,SCORE_1010,SCORE_1007,SCORE_1407,SCORE_1003,SCORE_1009,SCORE_1400,SCORE_1408
49245,22.99,19.26,6.64,16.7,10.33,23.37,0.0,15.49,14.89,6.65,0.61,2.11,3.61,6.91,0.0,2.15,,0.17,,,,0.7,,,9.71,,,,,
65681,7.8,38.06,0.97,49.82,17.83,62.02,6.05,11.57,16.65,16.11,42.96,41.9,8.82,,0.0,,3.94,,,,0.35,,,,,13.63,,,,
78073,17.25,10.44,2.98,4.12,2.77,6.88,66.41,0.0,,0.0,,,,3.88,,0.89,,0.0,,,,,,,,,,,,
7072,23.32,9.25,17.3,12.82,5.91,16.62,,22.33,7.29,0.2,0.0,7.63,4.54,2.4,16.18,5.32,40.37,,,,,,,,,,,,,
45475,59.01,51.47,99.99,94.05,95.24,93.99,27.98,35.07,85.44,81.88,99.39,50.48,9.77,47.44,,13.45,,,,,72.08,,,,2.48,,,,,
29380,74.72,70.77,99.81,94.57,92.58,79.97,80.04,97.97,83.09,92.44,64.18,69.2,99.51,23.7,74.6,38.7,10.22,,0.2,,0.6,,,,2.73,,,,,
26151,55.62,88.12,83.89,75.16,61.43,75.27,99.99,51.98,83.76,96.28,70.41,77.57,45.77,4.84,9.88,2.66,7.73,69.17,,,,,,,1.42,,,,,
42940,6.48,85.15,10.38,56.67,37.42,25.68,27.34,32.09,7.17,18.33,2.68,63.9,8.69,69.17,,0.15,,,,,,,1.38,,,3.87,,,,
61929,58.54,99.95,89.31,94.34,81.92,79.72,81.22,32.48,36.0,98.74,78.92,99.01,99.54,6.98,75.93,61.97,98.36,2.7,2.4,0.33,,,,,,,,,,
28911,14.97,11.41,2.46,9.55,7.65,54.73,0.0,48.32,6.31,20.04,,,,16.56,,2.38,,,,,,,,,,,,,,
411588,0.0,0.85,0.0,2.59,0.78,5.7,0.2,,1.43,0.0,,60.98,,,,,,,,,,,2.51,,,16.74,,,,
10633,83.17,87.6,96.36,94.12,98.28,98.26,66.16,82.7,95.23,78.58,87.8,99.67,25.27,98.58,63.84,44.03,31.59,96.94,63.9,41.89,2.44,0.89,20.69,,0.55,,,,,
62175,21.85,37.12,39.56,45.22,41.04,32.04,13.3,11.05,41.66,19.25,16.03,54.51,14.61,3.9,31.75,7.91,0.0,0.3,,49.25,,,,0.0,0.2,,,,,
272550,97.99,96.62,97.71,92.56,94.29,86.01,86.47,97.99,57.5,97.99,97.26,83.38,97.99,55.84,97.69,76.52,97.19,0.94,97.99,1.63,,92.9,,,,,49.45,,,
132923,91.61,55.55,95.27,99.96,99.61,95.94,21.37,34.21,85.79,87.88,93.89,98.57,6.51,74.21,38.25,14.73,11.38,7.41,,,50.35,0.59,,,,,0.0,,,
23951,4.92,70.56,32.56,52.38,37.11,63.63,51.26,14.35,65.75,88.44,22.8,17.61,9.33,3.32,7.55,18.66,0.0,,2.81,,,,,,,,,,,
216765,77.29,65.78,80.93,99.53,91.03,80.58,86.19,73.41,53.47,85.01,5.43,99.99,99.16,,,38.77,0.82,,,,,,10.03,,,82.16,,,,
20959,13.41,18.24,11.18,7.21,5.19,22.65,32.3,1.22,1.4,,0.35,,,0.7,,23.8,,,,,,2.38,,,,,,,,
58635,48.39,98.74,84.24,72.42,71.45,79.98,62.65,61.5,13.24,72.4,62.97,61.02,35.03,18.29,2.71,0.17,89.01,,27.42,,,,,,,,,,,
468495,15.22,38.27,2.18,70.42,25.5,80.13,0.87,93.91,35.49,38.57,,90.3,4.24,,,,,,,34.04,,,99.81,,,74.23,,,,
1990,98.16,99.71,93.09,82.17,84.97,74.51,29.96,95.17,52.31,75.59,45.91,36.69,11.1,15.99,4.72,15.51,2.75,,35.74,5.71,9.39,,,,,,,,,
65743,0.41,4.66,88.25,5.68,9.72,28.62,0.94,0.0,2.1,10.96,1.05,29.06,42.63,0.17,22.33,1.39,0.62,,,,,,8.35,,,,,,,
142637,5.87,0.18,0.0,0.41,0.0,,,0.89,0.0,,2.98,,,9.25,0.3,0.16,,,,,,,,,,,,,,
19360,78.98,74.78,50.41,71.57,74.07,84.35,10.76,38.2,99.02,39.2,82.25,46.66,53.81,99.93,1.11,33.12,,2.13,,,,,,,,,,,,
455134,1.42,9.77,29.44,2.0,2.43,21.25,0.0,7.43,,31.44,9.8,,,,,,,2.58,,0.59,,,,,,21.89,,,,
39704,28.93,69.77,16.23,73.9,44.73,67.15,41.61,12.8,15.78,7.18,50.33,64.84,82.04,0.74,,3.57,7.48,,18.48,,,,,,,,,34.45,,
54904,96.62,91.62,76.45,82.18,93.63,53.63,29.56,17.3,72.69,98.49,57.7,98.34,18.03,44.75,,5.63,98.59,3.9,6.65,,5.17,3.17,,,,,,,,
9596,40.2,8.76,50.12,59.64,34.88,44.64,30.38,31.46,44.33,9.11,34.79,8.76,19.87,35.84,0.23,3.57,,0.33,,,,,,,,,,,,
255699,92.97,97.99,68.35,95.36,93.1,63.72,92.58,97.99,57.07,97.83,86.17,97.69,80.06,45.1,86.15,19.74,97.99,4.28,44.95,,,,,,,,24.18,,,
253773,95.96,86.73,17.03,78.1,36.64,56.58,77.5,77.86,82.65,97.99,77.53,37.1,1.05,96.12,10.95,97.8,97.99,2.3,0.23,21.1,3.81,,,,87.01,,96.65,,,
47087,45.96,41.51,12.6,18.27,36.57,55.13,7.3,2.68,15.57,48.36,31.13,5.29,31.43,4.23,,9.6,,,,,,,,,,,,,,
101710,91.18,99.32,52.46,96.4,68.26,97.49,99.99,58.35,15.65,97.68,3.45,88.62,52.14,58.55,,,70.65,,24.65,,,,,,,32.41,,,,
9781,18.63,18.7,8.36,28.64,18.71,21.7,11.1,15.68,18.66,19.39,10.82,4.01,2.86,1.62,3.15,3.57,21.96,,,,,,,,,,,,,
29446,7.47,7.07,7.91,13.05,11.63,11.86,5.22,7.5,14.54,9.61,3.59,13.44,4.89,1.38,,0.15,1.09,,,,1.72,,,,,,,,,
200905,93.76,92.7,96.28,93.93,93.44,92.23,98.45,91.4,81.71,84.71,80.39,98.02,44.75,75.72,49.55,49.94,99.98,98.94,0.59,4.45,1.91,,,,,,0.17,15.11,,
58605,75.01,57.71,41.6,39.74,38.5,65.16,0.39,4.62,8.39,56.45,21.71,67.88,20.81,24.6,0.15,16.72,71.86,0.17,3.7,,,1.39,,,,,,,,
52209,41.84,66.09,82.43,90.89,98.36,58.36,89.12,41.64,99.99,54.53,88.2,87.98,87.81,3.58,18.26,14.12,51.72,34.62,21.18,,5.0,,,,,,,,,
111969,82.91,94.81,91.76,99.34,91.97,95.42,49.99,55.75,58.84,88.33,5.2,99.61,99.99,9.12,7.95,74.35,77.72,3.35,67.96,,,,,,,3.78,,0.15,,
52537,63.89,26.92,49.36,21.05,8.69,24.25,8.97,1.97,10.1,3.44,0.68,0.77,2.32,,0.33,0.65,7.56,,4.97,,,,,,,9.26,,,,
