SERV_ID,SCORE_1300,SCORE_1301,SCORE_1005,SCORE_1202,SCORE_1200,SCORE_1419,SCORE_1000,SCORE_1101,SCORE_1006,SCORE_1100,SCORE_1105,SCORE_1411,SCORE_1303,SCORE_1011,SCORE_1014,SCORE_1103,SCORE_1201,SCORE_1102,SCORE_1302,SCORE_1012,SCORE_1004,SCORE_1418,SCORE_1002,SCORE_1010,SCORE_1007,SCORE_1407,SCORE_1003,SCORE_1009,SCORE_1400,SCORE_1408,FLAG
23226,17.16,5.56,30.08,2.21,15.45,10.63,0.0,28.73,3.18,12.49,25.55,1.62,,4.36,,0.16,,,,,,,,,,,,,,,1
3522,70.79,66.87,68.21,88.11,63.64,72.74,66.46,41.76,68.21,90.31,23.14,34.46,27.95,46.2,0.47,26.95,11.6,,0.59,,,,0.0,12.14,,,,,,,0
373556,15.33,6.65,5.91,60.73,18.39,65.24,22.16,2.49,31.2,25.56,0.19,18.11,11.89,,,,,,,,12.85,,,,,34.79,,,,,0
57077,74.31,58.19,58.56,19.52,23.89,40.7,14.5,17.64,56.56,0.2,13.88,57.86,,35.78,30.89,8.5,,1.79,,,,4.98,,,,,,,,,1
105759,91.88,94.14,86.55,87.08,79.82,65.34,98.48,82.54,10.76,97.63,99.79,91.12,98.93,63.74,,20.15,89.4,1.37,23.08,1.59,,,,,,5.77,,0.0,,,0
32075,32.63,74.15,43.36,75.77,22.37,57.99,24.08,22.55,47.02,81.14,11.23,61.51,24.47,9.61,,4.3,,,22.31,33.95,2.8,4.35,2.52,,,,,,,,0
44745,88.51,99.99,49.61,62.09,68.7,42.07,60.31,96.23,9.86,99.89,33.54,59.67,28.58,2.29,99.99,99.99,99.99,83.94,34.91,,,3.08,,,,,0.15,,,,1
11607,58.37,56.36,62.23,68.58,71.42,69.18,21.53,74.16,76.34,62.56,43.65,64.2,64.02,62.1,5.67,40.76,10.83,3.28,0.15,0.17,2.08,,,,,,,0.0,,,1
66047,31.69,58.55,61.28,66.83,60.61,75.56,1.88,95.21,33.04,9.9,7.89,58.53,13.11,2.7,45.36,15.39,17.46,,,,,59.43,,,,,,,,,0
232945,99.98,99.81,97.15,99.96,93.58,78.53,98.45,99.99,62.17,99.99,99.98,88.87,99.96,50.03,99.93,13.42,99.98,7.57,57.63,24.55,,0.65,,,,,57.48,,,,1
57756,62.18,50.67,49.38,39.11,26.52,17.27,32.05,54.73,25.41,17.52,67.55,53.44,2.51,21.49,30.48,6.68,30.33,,,,,,,,,,,,,,0
