SERV_ID,INNET_DUR,ORG_DZS_ID,OFR_GRADE,CDE_OFR_CD,YD_CNT,TERMINAL_MODEL,BRAND_ID,MOBILE_PRICE,REL_AMT,PAY_MODE,OWE_AMOUNT,CUST_CNT,ZJ_CNT,BJ_CNT,ZJ_CNT_RATIO,ZJ_DUR,BJ_DUR,ZJ_DUR_RATIO,ZJ_PEOPLE_CNT,BJ_PEOPLE_CNT,ZJ_PEOPLE_RATIO,ZJ_AVG_CNT_RATIO,BJ_AVG_CNT_RATIO,ZJ_AVG_DUR,BJ_AVG_DUR,ZJ_CNT_DUR,BJ_CNT_DUR,ZJ_SHORT_CNT,ZJ_SHORT_CNT_RATIO,ZJ_MID_CNT,ZJ_MID_CNT_RATIO,ZJ_ROAM_CNT,ZJ_ROAM_CNT_RATIO,ZJ_LONG_CNT,ZJ_LONG_CNT_RATIO,ZJ_LONG_ROAM_RATIO,ZJ_ROAM_DUR,ZJ_ROAM_DUR_RATIO,ZJ_LONG_DUR,ZJ_LONG_DUR_RATIO,ZJ_LONG_ROAM_DUR_RATIO,ZJ_ROAM_AREA_CNT,ROAM_TOP_RATIO,SMS_CNT,DAY_CNT,FLOW_CNT,FLOW_MB,BASE_CNT,ZJ_BASE_TOP_RATIO,POINT_CNT
4865,6,226.0,169,2005,4.0,178,13,1299.0,1.0,2,0.0,4,250,124,0.6684,264.3,87.75,0.7507,97.0,47.0,0.6736,2.58,2.64,2.72,1.87,1.06,0.71,42.0,0.168,163.0,0.652,0,0.0,4,0.016,0.016,0.0,0.0,1.75,0.0066,0.0066,2,0.0,11,28.0,1254,1361.27,18,0.288,2
5268,65,1256.0,399,1242,1.0,22,1,2799.0,401.4,2,0.0,1,169,297,0.3627,472.92,585.2,0.4469,58.0,91.0,0.3893,2.91,3.26,8.15,6.43,2.8,1.97,13.0,0.0769,68.0,0.4024,169,1.0,167,0.9882,1.9882,472.92,1.0,426.38,0.9016,1.9016,13,0.6805,19,31.0,755,4498.27,13,0.8817,0
442,2,3129.0,169,2005,1.0,6,1,2799.0,77.77,2,0.0,191,324,38,0.895,378.37,50.65,0.8819,182.0,20.0,0.901,1.78,1.9,2.08,2.53,1.17,1.33,17.0,0.0525,193.0,0.5957,0,0.0,230,0.7099,0.7099,0.0,0.0,208.63,0.5514,0.5514,93,0.0,36,31.0,54,227.82,16,0.8179,0
15097,25,1309.0,19,973,1.0,182,36,288.0,19.0,2,0.0,1,9,35,0.2045,18.1,80.75,0.1831,4.0,9.0,0.3077,2.25,3.89,4.53,8.97,2.01,2.31,0.0,0.0,5.0,0.5556,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,0.0,5,0.5556,0
3143,64,8527.0,79,1671,2.0,102,0,,79.0,2,0.0,2,79,58,0.5766,116.38,102.23,0.5324,16.0,18.0,0.4706,4.94,3.22,7.27,5.68,1.47,1.76,10.0,0.1266,33.0,0.4177,0,0.0,13,0.1646,0.1646,0.0,0.0,17.8,0.1529,0.1529,1,0.0,0,18.0,168,114.02,15,0.3924,3
11624,83,,9,1862,1.0,72,6,1899.0,56.21,2,0.0,1,218,107,0.6708,357.88,237.43,0.6012,52.0,41.0,0.5591,4.19,2.61,6.88,5.79,1.64,2.22,19.0,0.0872,106.0,0.4862,2,0.0092,7,0.0321,0.0413,1.45,0.0041,5.97,0.0167,0.0208,2,3.0,0,4.0,6,3.46,22,0.7064,0
532,6,3129.0,169,2005,3.0,129,5,3299.0,1.0,2,0.0,191,213,29,0.8802,272.02,43.55,0.862,165.0,22.0,0.8824,1.29,1.32,1.65,1.98,1.28,1.5,55.0,0.2582,84.0,0.3944,213,1.0,200,0.939,1.939,272.02,1.0,245.68,0.9032,1.9032,79,0.1878,20,22.0,3,5.59,1,,0
8367,85,,169,1628,3.0,111,6,2990.0,169.4,2,0.0,3,189,386,0.3287,148.28,325.35,0.3131,53.0,138.0,0.2775,3.57,2.8,2.8,2.36,0.78,0.84,33.0,0.1746,108.0,0.5714,0,0.0,3,0.0159,0.0159,0.0,0.0,7.23,0.0488,0.0488,2,0.0,4,31.0,678,1218.05,40,0.3228,0
13510,70,10494.0,129,200,2.0,814,10,1290.0,0.0,2,0.0,2,32,26,0.5517,19.82,16.88,0.54,9.0,10.0,0.4737,3.56,2.6,2.2,1.69,0.62,0.65,6.0,0.1875,22.0,0.6875,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,18.0,24,5.19,4,0.3438,0
16296,53,21.0,169,988,3.0,22,1,2799.0,169.3,2,0.0,3,139,210,0.3983,145.63,178.62,0.4491,23.0,29.0,0.4423,6.04,7.24,6.33,6.16,1.05,0.85,31.0,0.223,79.0,0.5683,0,0.0,18,0.1295,0.1295,0.0,0.0,68.05,0.4673,0.4673,5,0.0,3,19.0,110,557.72,4,0.9784,1
