SERV_ID,INNET_DUR,ORG_DZS_ID,OFR_GRADE,CDE_OFR_CD,YD_CNT,TERMINAL_MODEL,BRAND_ID,MOBILE_PRICE,REL_AMT,PAY_MODE,OWE_AMOUNT,CUST_CNT,ZJ_CNT,BJ_CNT,ZJ_CNT_RATIO,ZJ_DUR,BJ_DUR,ZJ_DUR_RATIO,ZJ_PEOPLE_CNT,BJ_PEOPLE_CNT,ZJ_PEOPLE_RATIO,ZJ_AVG_CNT_RATIO,BJ_AVG_CNT_RATIO,ZJ_AVG_DUR,BJ_AVG_DUR,ZJ_CNT_DUR,BJ_CNT_DUR,ZJ_SHORT_CNT,ZJ_SHORT_CNT_RATIO,ZJ_MID_CNT,ZJ_MID_CNT_RATIO,ZJ_ROAM_CNT,ZJ_ROAM_CNT_RATIO,ZJ_LONG_CNT,ZJ_LONG_CNT_RATIO,ZJ_LONG_ROAM_RATIO,ZJ_ROAM_DUR,ZJ_ROAM_DUR_RATIO,ZJ_LONG_DUR,ZJ_LONG_DUR_RATIO,ZJ_LONG_ROAM_DUR_RATIO,ZJ_ROAM_AREA_CNT,ROAM_TOP_RATIO,SMS_CNT,DAY_CNT,FLOW_CNT,FLOW_MB,BASE_CNT,ZJ_BASE_TOP_RATIO,POINT_CNT,FLAG
15109,46,178.0,89,2340,1.0,63,5,1199.0,98.68,2,0.0,1,13,5,0.7222,77.9,18.27,0.8101,4.0,3.0,0.5714,3.25,1.67,19.48,6.09,5.99,3.65,0.0,0.0,2.0,0.1538,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,11.0,127,93.72,5,0.5385,1,0
4467,67,651.0,199,226,5.0,78,6,1299.0,239.1,2,0.0,5,10,18,0.3571,22.37,21.6,0.5087,7.0,9.0,0.4375,1.43,2.0,3.2,2.4,2.24,1.2,0.0,0.0,4.0,0.4,9,0.9,7,0.7,1.6,22.08,0.9873,20.48,0.9158,1.9031,1,0.7778,0,31.0,1442,22600.82,4,0.7,0,0
17971,13,502.0,59,353,1.0,39,2,1599.0,64.0,2,0.0,1,1,8,0.1111,5.1,6.93,0.4238,1.0,2.0,0.3333,1.0,4.0,5.1,3.47,5.1,0.87,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,20.0,421,604.74,1,,1,0
15795,56,955.0,129,1557,4.0,552,10,599.0,129.0,2,0.0,4,157,161,0.4937,189.35,355.37,0.3476,37.0,34.0,0.5211,4.24,4.74,5.12,10.45,1.21,2.21,9.0,0.0573,92.0,0.586,2,0.0127,15,0.0955,0.1082,0.88,0.0047,32.57,0.172,0.1767,4,4.5,0,31.0,1853,694.83,10,0.5987,1,0
17361,8,4145.0,79,1671,2.0,4,1,1299.0,79.0,2,0.0,2,51,47,0.5204,69.6,92.98,0.4281,17.0,19.0,0.4722,3.0,2.47,4.09,4.89,1.36,1.98,11.0,0.2157,25.0,0.4902,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,18.0,73,103.35,10,0.6275,0,0
19428,16,9840.0,169,2072,3.0,59,2,1799.0,13.65,2,0.0,3,17,17,0.5,24.6,32.75,0.4289,7.0,11.0,0.3889,2.43,1.55,3.51,2.98,1.45,1.93,1.0,0.0588,11.0,0.6471,17,1.0,4,0.2353,1.2353,24.6,1.0,2.58,0.105,1.105,2,0.1176,0,31.0,289,484.95,1,,0,0
15210,81,,169,2072,2.0,62,0,,171.3,2,0.0,2,503,546,0.4795,559.72,528.2,0.5145,145.0,157.0,0.4801,3.47,3.48,3.86,3.36,1.11,0.97,50.0,0.0994,305.0,0.6064,0,0.0,25,0.0497,0.0497,0.0,0.0,24.97,0.0446,0.0446,10,0.0,22,31.0,2123,40548.3,93,0.2366,0,0
5971,1,2268.0,99,1897,2.0,62,0,,0.1,2,0.1,2,2,0,1.0,3.52,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.76,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.5,0.5,0.0,0.0,1.32,0.3744,0.3744,1,0.0,0,,0,0.0,2,0.5,0,0
20564,3,40.0,9,1912,1.0,433,8,1898.0,24.35,2,0.0,4,1,3,0.25,0.32,2.33,0.1195,1.0,3.0,0.25,1.0,1.0,0.32,0.78,0.32,0.78,0.0,0.0,1.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,19.0,171,397.65,1,1.0,2,0
1113,56,6670.0,129,1353,3.0,157,1,2499.0,1.0,2,0.0,3,93,183,0.337,193.18,253.62,0.4324,36.0,67.0,0.3495,2.58,2.73,5.37,3.79,2.08,1.39,14.0,0.1505,38.0,0.4086,0,0.0,16,0.172,0.172,0.0,0.0,23.27,0.1204,0.1204,9,0.0,3,27.0,573,535.86,16,0.2581,0,0
